a : 			eyk
a few : 			chand 
a good many : 		bahot sey&nbsp;/&nbsp;kul
a little : 		zara sa
a lot : 			bahot sa&nbsp;/&nbsp;kaafi&nbsp;/&nbsp;KHaasah
a number of : 		baaz&nbsp;/&nbsp;ka'i
a quarter less than : 	pauna.
a quarter more than :  	sawa
aback : 		adv.##piichhey ko
abandon : 	v.t.##baaz aana&nbsp;/&nbsp;chhoRna&nbsp;/&nbsp;Daal deyna&nbsp;/&nbsp;KHaak Daalna&nbsp;/&nbsp;tark karna
abandon : 	n.##bey par wahi(f.)&nbsp;/&nbsp;laa ubaali pan(m.)&nbsp;/&nbsp;wajd(m.)
abandoned : 	a.##matruuk&nbsp;/&nbsp;ujaaR&nbsp;/&nbsp;wiiraan
abandoning : 	n.##qata e taalluq
abandonment : 	n.##bey wafaa'i&nbsp;/&nbsp;dast bar daari&nbsp;/&nbsp;tyaag
abase : 		v.t.##bey izzat karna&nbsp;/&nbsp;hattak karna&nbsp;/&nbsp;tauhiin karna&nbsp;/&nbsp;utaarna&nbsp;/&nbsp;zaliil karna
abasement : 	n.##bey izzat&nbsp;/&nbsp;hattak&nbsp;/&nbsp;KHwaari&nbsp;/&nbsp;tauhiin&nbsp;/&nbsp;tazliil&nbsp;/&nbsp;zillat			
abash : 		v.t.##bad Hawaas karna&nbsp;/&nbsp;SHarminda karna
abashed : 	a.##KHajil&nbsp;/&nbsp;paSHeymaan&nbsp;/&nbsp;SHarm saar
abashment : 	n.##jheynp&nbsp;/&nbsp;KHwaari&nbsp;/&nbsp;paSHeymaani(f.)&nbsp;/&nbsp;SHarmindagi(f.)&nbsp;/&nbsp;zillat(f.)
abatable : 	a.##qaabil e taKHfiif
abate : 		v.t.##ghaTaana&nbsp;/&nbsp;kam karna&nbsp;/&nbsp;KHazaf karna&nbsp;/&nbsp;taKHfiif karna
abate : 		v.i.##ghaTna&nbsp;/&nbsp;kam hona&nbsp;/&nbsp;KHazaf hona&nbsp;/&nbsp;taKHfiif hona
abatement : 	n.##ghaTaa'o&nbsp;/&nbsp;ghaaTa&nbsp;/&nbsp;kami&nbsp;/&nbsp;kaTauti
abattoir : 	n.##kameylah&nbsp;/&nbsp;mazbaH&nbsp;/&nbsp;zabaH KHaanah
abbey : 		n.##KHaan qaah
abbreviate : 	v.t.##KHulaasah karna&nbsp;/&nbsp;muKHtasar karna
abbreviated : 	a.##muKHaffaf
abbreviation : 	n.##eKHteyaar&nbsp;/&nbsp;muKHaffaf&nbsp;/&nbsp;taqsiir
abdicate : 	v.t.##chhoR deyna&nbsp;/&nbsp;chhoRna&nbsp;/&nbsp;tark karna&nbsp;/&nbsp;tyaag deyna
abdication : 	n.##dast bar daari&nbsp;/&nbsp;subuk doSHi
abdomen : 	n.##batan&nbsp;/&nbsp;jauf&nbsp;/&nbsp;kokh&nbsp;/&nbsp;peyT&nbsp;/&nbsp;SHikam
abdominal : 	a.##batni&nbsp;/&nbsp;SHikmi
abduct : 		v.t.##aGHwa karna&nbsp;/&nbsp;bhagaana
abduction : 	n.##aGHwa
aberrant : 	a.##gum raah&nbsp;/&nbsp;kaj rau
aberration : 	n.##dimaaGHi KHalal&nbsp;/&nbsp;gum raahi&nbsp;/&nbsp;inHeraaf&nbsp;/&nbsp;kaj rawi
abet : 		v.t.##taeHriis&nbsp;/&nbsp;tarGHiib
abetment : 	n.##dast giiri&nbsp;/&nbsp;eaanat&nbsp;/&nbsp;madad&nbsp;/&nbsp;madad gaari
abettor : 	n.##Hemaayati&nbsp;/&nbsp;moaawin e jurm
abhor : 		v.t.##ghinnaana&nbsp;/&nbsp;karaahat karna&nbsp;/&nbsp;nafrat karna
abhorrence : 	n.##chiRh&nbsp;/&nbsp;ghin&nbsp;/&nbsp;karaahat&nbsp;/&nbsp;karaahiyat&nbsp;/&nbsp;nafrat
abhorrent : 	a.##ghinaa'ona&nbsp;/&nbsp;Haqaarati&nbsp;/&nbsp;mutannaffar
abide : 		v.i.##Deyra&nbsp;/&nbsp;qayaam&nbsp;/&nbsp;rahina&nbsp;/&nbsp;sukuunat&nbsp;/&nbsp;Thaerna
